date,est_ridership,pre_pandemic_ratio,est_pre_pandemic_ridership
2021-08,2445638,0.48,5095079
2021-08,2439624,0.47,5190689
2021-08,2456334,0.48,5117362
2021-08,1715030,0.58,2956948
2021-08,745240,0.31,2404000
2021-08,2052669,0.4,5131672
2021-08,2462365,0.48,5129927
2021-08,2498255,0.49,5098479
2021-08,2480137,0.48,5166952
2021-08,2388210,0.46,5191760
2021-08,1659434,0.56,2963274
2021-08,1398566,0.59,2370450
2021-08,2321000,0.45,5157777
2021-08,2532584,0.49,5168538
2021-09,2294448,0.4,5736120
2021-09,1661558,0.29,5729510
2021-09,2390392,0.41,5830224
2021-09,1777639,0.55,3232070
2021-09,1415352,0.56,2527414
2021-09,1521388,0.6,2535646
2021-09,2233674,0.39,5727369
2021-09,2529619,0.44,5749134
2021-09,2702713,0.47,5750453
2021-09,2840443,0.49,5796822
2021-09,1983091,0.62,3198533
2021-09,1589976,0.62,2564477
2021-09,2852796,0.49,5822032
2021-09,3011275,0.52,5790913
2021-09,2987334,0.52,5744873
2021-09,2534545,0.44,5760329
2021-09,3028545,0.52,5824125
2021-09,2014848,0.63,3198171
2021-09,1596823,0.63,2534639
2021-09,2883211,0.5,5766422
2021-09,3018312,0.52,5804446
2021-09,3021113,0.52,5809832
2021-09,3016106,0.52,5800203
2021-09,3121747,0.54,5781012
2021-09,2129492,0.66,3226503
2021-09,1614677,0.63,2562979
2021-09,2873368,0.5,5746736
2021-09,2927715,0.51,5740617
2021-09,3063720,0.53,5780603
2021-09,3146861,0.55,5721565
2021-10,3162881,0.55,5750692
2021-10,2063660,0.62,3328483
2021-10,1575738,0.64,2462090
2021-10,2864349,0.5,5728698
2021-10,3091160,0.54,5724370
2021-10,3140986,0.55,5710883
2021-10,3190747,0.56,5697762
2021-10,3168473,0.55,5760860
2021-10,2052699,0.62,3310804
2021-10,1499385,0.61,2458008
2021-10,2263615,0.39,5804141
2021-10,3102879,0.54,5746072
2021-10,3157457,0.55,5740830
2021-10,3240686,0.56,5786939
